URL,Title,Sentence
https://heho.com.tw/archives/40523,雙腿也是疾病的反應器，腿部的這5個現象會告訴你生病了 ...,但如果兩腿或單腿經常出現水腫，就要注意是不是血栓造成的，最好儘快到醫院查明病因。
https://heho.com.tw/archives/40523,雙腿也是疾病的反應器，腿部的這5個現象會告訴你生病了 ...,二、腿部麻痺：除了久坐與久站、跪姿或蹲姿所造成兩腿麻木之外，腿部麻痺可能與血液流動受阻與腰椎疾病有關。
https://heho.com.tw/archives/40523,雙腿也是疾病的反應器，腿部的這5個現象會告訴你生病了 ...,三、腿部無力：除了因為年齡的關係導致兩腿肌肉減少而出現無力的症狀之外，如果是單側的腿部無力，並伴隨口齒不清、嘴角歪斜等情況，有可能是腦血管疾病或腦中風的前兆。
https://health.tvbs.com.tw/medical/316919,兩腿一粗一細小心下肢循環出問題｜健康2.0 - TVBS新聞,兩腿一粗一細小心下肢循環出問題｜健康2.0
https://health.tvbs.com.tw/medical/316919,兩腿一粗一細小心下肢循環出問題｜健康2.0 - TVBS新聞,兩腿一粗一細小心下肢循環出問題
https://health.tvbs.com.tw/medical/316919,兩腿一粗一細小心下肢循環出問題｜健康2.0 - TVBS新聞,夏天又是穿短褲、短裙的季節，小雯穿著新買的短褲，看到的人大家都誇漂亮，但卻被發現兩腿不一樣粗，叫她去檢查，結果竟檢查出有「髂靜脈壓迫症候群」，所幸只是初期，只需要多做腿部活動就可以改善，不愛運動的她趕快加入健身行列。
https://health.tvbs.com.tw/medical/316919,兩腿一粗一細小心下肢循環出問題｜健康2.0 - TVBS新聞,很多人都有兩腿不一樣粗的情況，國泰醫院心血管中心主治醫師張嘉修表示，如果粗細差距在3公分以內都算正常範圍，倘若兩腿粗細差3公分以上，就要注意是否有「髂靜脈壓迫症候群」。
https://health.tvbs.com.tw/medical/316919,兩腿一粗一細小心下肢循環出問題｜健康2.0 - TVBS新聞,髂靜脈是在第5腰椎接近骨盆處，和下腔靜脈循環連接，張嘉修表示，髂靜脈壓迫症候群引起兩腿不對稱腫脹的主因，是下肢的血流循環系統不好，下肢的循環血流主要來自靜脈和淋巴系統，如果發現兩腿不同粗細的人，首先要考慮是否有深層靜脈栓塞、靜脈壓迫，或是淋巴循環不佳引起。
https://health.tvbs.com.tw/medical/316919,兩腿一粗一細小心下肢循環出問題｜健康2.0 - TVBS新聞,下肢循環變差，首先會從腳盤開始腫脹，慢慢再往上延伸到小腿，所以如果兩腿不對稱粗細已經出現到大腿，要小心可能是下肢循環差的狀況已變嚴重了。
https://health.tvbs.com.tw/medical/316919,兩腿一粗一細小心下肢循環出問題｜健康2.0 - TVBS新聞,髂靜脈壓迫症候群腿部活動兩腿粗細不同下肢循環下腔靜脈血流循環系統淋巴系統口服抗凝血劑小腿收縮踮腳尖脫水靜脈栓塞靜脈壓迫骨盆前傾
https://www.istockphoto.com/hk/%E5%9C%96%E7%89%87/%E5%85%A9%E8%85%BF%E5%BC%B5%E9%96%8B,兩腿張開圖畫、圖片和照片檔- iStock,兩腿張開圖畫、圖片和照片檔-iStock
